com;typecom;reg;dep;arr;tncc;ncc;nccenr;libelle;can;comparent;nom_commune;latitude;longitude
19264;COM;75;19;193;0;SOURSAC;Soursac;Soursac;1907;;Soursac;45.283333;2.2
19265;COM;75;19;192;0;TARNAC;Tarnac;Tarnac;1912;;Tarnac;45.683333;1.95
19266;COM;75;19;193;0;THALAMY;Thalamy;Thalamy;1908;;Thalamy;45.516667;2.466667
19268;COM;75;19;192;0;TOY VIAM;Toy-Viam;Toy-Viam;1912;;Toy-Viam;45.65;1.933333
19269;COM;75;19;192;0;TREIGNAC;Treignac;Treignac;1915;;Treignac;45.533333;1.8
19270;COM;75;19;191;0;TROCHE;Troche;Troche;1901;;Troche;45.383333;1.433333
19271;COM;75;19;191;0;TUDEILS;Tudeils;Tudeils;1910;;Tudeils;45.05;1.8
19272;COM;75;19;192;0;TULLE;Tulle;Tulle;1916;;Tulle;45.266667;1.766667
19273;COM;75;19;191;0;TURENNE;Turenne;Turenne;1913;;Turenne;45.05;1.583333
19274;COM;75;19;191;1;USSAC;Ussac;Ussac;1909;;Ussac;45.116667;1.616667
19275;COM;75;19;193;1;USSEL;Ussel;Ussel;1917;;Ussel;45.55;2.316667
19276;COM;75;19;192;1;UZERCHE;Uzerche;Uzerche;1918;;Uzerche;45.416667;1.566667
19277;COM;75;19;193;0;VALIERGUES;Valiergues;Valiergues;1908;;Valiergues;45.483333;2.3
19278;COM;75;19;191;0;VARETZ;Varetz;Varetz;1909;;Varetz;45.2;1.45
19279;COM;75;19;191;0;VARS SUR ROSEIX;Vars-sur-Roseix;Vars-sur-Roseix;1919;;Vars-sur-Roseix;45.25;1.366667
19280;COM;75;19;191;0;VEGENNES;Végennes;Végennes;1910;;VÃ©gennes;44.983333;1.75
19281;COM;75;19;192;0;VEIX;Veix;Veix;1915;;Veix;45.516667;1.833333
19283;COM;75;19;193;0;VEYRIERES;Veyrières;Veyrières;1908;;VeyriÃ¨res;;
19284;COM;75;19;192;0;VIAM;Viam;Viam;1912;;Viam;45.6;1.883333
19285;COM;75;19;192;0;VIGEOIS;Vigeois;Vigeois;1901;;Vigeois;45.383333;1.516667
19286;COM;75;19;191;0;VIGNOLS;Vignols;Vignols;1919;;Vignols;45.316667;1.4
19287;COM;75;19;192;0;VITRAC SUR MONTANE;Vitrac-sur-Montane;Vitrac-sur-Montane;1907;;Vitrac-sur-Montane;45.383333;1.95
19288;COM;75;19;191;0;VOUTEZAC;Voutezac;Voutezac;1919;;Voutezac;45.283333;1.433333
19289;COM;75;19;191;1;YSSANDON;Yssandon;Yssandon;1919;;Yssandon;45.2;1.366667
